name,address,website,normal_score
Olympia,"Riesstr. 86 Direkt dem dem Olympia Einkaufszentrum, 80993 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039624,3.5
Ruffini,"Orffstr. 22-24, 80637 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039625,4.0
Wienerwald,"Leonrodstr. 91, 80636 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039626,3.5
Koniglicher Hirschgarten,"Hirschgarten 1, 80639 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039630,4.0
Barka,"Fasangartenstr. 124, 81549 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039636,4.0
Van Hoa,"Martin-Luther-Str. 8, 81539 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039638,3.0
Osteria Alpenhof,"Alpenplatz 1, 81541 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039639,3.5
Schlossschaenke,"Schloss Blutenburg 1, 81247 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039646,3.5
Da Ugo,"Maria-Eich-Str. 32, 81243 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039647,4.0
Lemontrees,"Planegger Str. 9a Im Eschenhof, 81241 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039652,4.0
Trivona,"Verdistr. 131, 81247 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039653,5.0
Il Ruscello,"Pfanzeltplatz 11, 81737 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039657,3.5
Poseidon,"Karl-Preis-Platz 1, 81671 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039658,4.0
Bonsai,"Freisinger Landstr. 28, 80939 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039660,4.0
Adria,"Leopoldstr. 19, 80802 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039661,3.5
Fellini,"Karl-Koeglsperger-Str. 11, 80939 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039665,4.0
Tiratardi,"Kurfuerstenstr. 41, 80801 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039669,4.5
Ho Goun,"Schleissheimer Str. 121, 80797 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039671,4.0
Le Cezanne,"Konradstr. 1, 80801 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039672,4.5
Michelangelo,"Schleissheimer Str. 182, 80797 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039673,3.0
Nabucco,"Erich-Kastner-Strasse 21 ecke Clemesstrasse, 80796 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039674,4.0
Troja im Gruner Kranz,"Sturzerstrasse 38, 80689 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039677,4.0
Al Paladino,"Heimeranplatz 1, 80339 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039678,4.5
Ristorante Firenze,"Leibnizstr. 32, 80686 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039682,4.0
Il Castagno,"Grasserstr. 10, 80339 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039683,3.5
La Fiera,"Heimeranstr. 57, 80339 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039685,4.5
Lindengarten,"Agnes-Bernauer-Str. 115, 80687 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039686,3.5
San Marino,"Westendstr. 161, 80339 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039687,4.0
Ayurveda,"Ganghoferstr. 76, 81373 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039689,3.5
Haus Tso,"Pfeuferstr. 33, 81373 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039692,
O Milos,"Schoettlstr. 10, 81369 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039695,3.0
Flosslande,"Zentrallaendstr. 30, 81379 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039701,4.0
La Spaghettata,"Hofmannstr. 19, 81379 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039704,3.0
Cortile,"Wasserburger Landstr. 264, 81827 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039707,4.0
Croatica Grill,"Wasserburger Landstr. 223, 81827 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039708,4.0
Gasthof Obermaier,"Truderinger Str. 306, 81825 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039709,4.0
Taverne Likavitos - Griechisches Restaurant,"Kuehbachstr. 4 Hans Mielich Platz München, 81543 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039714,4.5
Zum Brandner Kaspar,"Sommerstr. 39, 81543 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039716,5.0
Amalfi,"Partnachstr. 6, 81373 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039720,4.0
Krambambuli Restaurant,"Waldfriedhofstr. 90, 81377 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039721,3.5
Mehfil,"Hansastr. 146 Sendling- Westpark, 81373 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039723,4.0
Zur Gartler Hütte,"Gerhard-Winkler-Weg 5, 81245 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10425552,4.5
KaliOra,"Braystr. 22, 81677 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10427911,4.5
Limoncello Ristorante,"Verdistr. 92, 81247 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10431065,4.5
Alter Kernhof,"Denninger Str. 233, 81927 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10433103,3.5
